fitness,finished,diversity,individual
14,True,16,"(2, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 2, 2, 2)"
14,True,18,"(1, 2, 1, 1, 2, 1, 1, 1, 2, 2, 2, 2, 1, 2)"
14,True,22,"(1, 1, 1, 1, 2, 2, 1, 2, 1, 2, 1, 2, 2, 2)"
14,True,24,"(1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2)"
14,True,22,"(1, 2, 1, 1, 1, 2, 2, 1, 1, 2, 2, 2, 2, 1)"
14,True,18,"(1, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1)"
14,True,19,"(1, 1, 1, 2, 2, 1, 1, 1, 2, 2, 1, 2, 2, 2)"
14,True,17,"(1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 2, 2, 2, 2)"
14,True,19,"(1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2)"
14,True,15,"(1, 1, 2, 1, 1, 2, 2, 2, 2, 2, 1, 2, 1, 1)"
14,True,24,"(2, 1, 1, 1, 2, 2, 1, 2, 2, 2, 1, 1, 1, 2)"
14,True,22,"(1, 2, 1, 1, 2, 1, 1, 2, 1, 2, 2, 2, 2, 1)"
14,True,31,"(1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 2, 2, 2, 2)"
14,True,17,"(2, 1, 1, 1, 2, 2, 1, 1, 1, 2, 1, 2, 2, 2)"
14,True,22,"(1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 2, 2, 2, 2)"
14,True,28,"(1, 1, 1, 1, 2, 2, 1, 2, 1, 2, 1, 2, 2, 2)"
14,True,20,"(2, 1, 1, 1, 2, 2, 2, 2, 2, 1, 1, 1, 2, 1)"
14,True,22,"(2, 1, 1, 1, 2, 2, 1, 1, 1, 2, 2, 2, 1, 2)"
14,True,30,"(1, 2, 1, 1, 1, 2, 1, 2, 1, 2, 2, 2, 1, 2)"
14,True,25,"(1, 1, 1, 1, 2, 2, 1, 2, 1, 2, 2, 1, 2, 2)"
14,True,16,"(1, 2, 1, 1, 2, 2, 1, 2, 2, 2, 1, 1, 2, 1)"
14,True,18,"(1, 1, 1, 2, 2, 1, 2, 1, 1, 2, 1, 2, 2, 2)"
14,True,19,"(1, 1, 2, 1, 1, 2, 2, 2, 2, 2, 1, 2, 1, 1)"
14,True,18,"(1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 2, 1, 1, 1)"
14,True,16,"(1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2)"
14,True,18,"(1, 1, 1, 2, 1, 2, 1, 2, 1, 2, 2, 1, 2, 2)"
14,True,25,"(1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 2, 2, 2, 2)"
14,True,20,"(2, 1, 1, 1, 1, 2, 1, 2, 1, 2, 2, 2, 2, 1)"
14,True,19,"(1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 1)"
