fitness,finished,diversity,individual
1.0,False,37,"(2, 1, 2, 1, 1, 1, 1, 2, 2, 2, 1, 2)"
500.0,True,29,"(2, 2, 2, 1, 2, 1, 1, 2, 2, 1, 2, 2, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1)"
1.0,False,44,"(2, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 2)"
500.0,True,33,"(2, 2, 1, 1, 1, 2, 1, 1, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 2, 2, 2, 1)"
1.0,False,36,"(1, 2, 2, 2, 2, 1, 1, 2, 2, 1, 1, 1)"
500.0,True,19,"(1, 2, 2, 2, 1, 2, 1, 1, 1, 2, 2, 2, 2, 1, 1, 1, 1, 1, 2, 2, 2, 1)"
1.0,False,40,"(1, 2, 2, 1, 2, 1, 2, 1, 1, 2, 1, 1)"
458.3333333333333,True,26,"(2, 2, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1)"
1.0,False,49,"(1, 2, 2, 2, 1, 2, 1, 1, 1, 2, 2, 1)"
500.0,True,26,"(2, 1, 2, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 2, 2)"
1.0,False,46,"(2, 2, 1, 1, 1, 2, 1, 1, 1, 2, 2, 2)"
500.0,True,28,"(2, 2, 1, 2, 1, 2, 1, 1, 1, 2, 2, 2, 2, 1, 1, 2, 2, 1, 1, 2, 1, 1)"
1.0,False,46,"(2, 1, 2, 1, 1, 2, 2, 1, 1, 2, 1, 1)"
500.0,True,27,"(1, 2, 2, 1, 2, 1, 2, 1, 1, 2, 2, 2, 2, 1, 1, 2, 2, 1, 1, 1, 1, 2)"
500.0,True,22,"(2, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2)"
458.3333333333333,True,24,"(1, 2, 2, 2, 2, 1, 1, 1, 1, 2, 2, 3, 2, 2, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1)"
1.0,False,38,"(2, 2, 2, 1, 1, 1, 1, 1, 2, 2, 1, 2)"
1.0,False,33,"(2, 1, 2, 1, 2, 1, 1, 1, 1, 2, 2, 2)"
1.0,False,32,"(1, 2, 2, 1, 2, 2, 1, 2, 2, 1, 2, 2, 1, 1, 1, 2, 2, 2)"
0.8636363636363636,False,26,"(2, 1, 2, 2, 2, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2)"
1.0,False,33,"(2, 2, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2, 2, 1, 1)"
500.0,True,25,"(2, 1, 2, 1, 1, 2, 2, 2, 2, 2, 1, 1, 2, 1, 1, 1, 2, 2, 1, 2, 1, 1)"
500.0,True,14,"(2, 2, 2, 1, 2, 1, 1, 2, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2)"
500.0,True,29,"(1, 2, 2, 2, 1, 2, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 2, 2, 1, 1, 1, 2)"
500.0,True,17,"(2, 2, 1, 2, 2, 1, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 2, 2, 2, 1)"
500.0,True,29,"(2, 2, 2, 2, 1, 1, 1, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1)"
1.0,False,39,"(2, 2, 1, 2, 1, 1, 2, 2, 2, 2, 2, 2)"
1.0,False,38,"(2, 2, 1, 2, 2, 1, 1, 1, 1, 2, 2, 1)"
500.0,True,24,"(2, 2, 2, 2, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1, 1, 1, 1, 1, 2, 2, 2, 1)"
1.0,False,25,"(2, 2, 1, 1, 1, 2, 1, 2, 1, 2, 2, 2, 2, 1, 1, 2, 1, 2, 1, 2)"
