fitness,finished,diversity,individual
29,True,0,"(2, 2, 2, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2, 1, 1, 1, 2, 2, 1, 3, 1, 2, 1, 3, 1, 0, 2, 1, 2)"
46,True,0,"(3, 2, 1, 0, 3, 3, 0, 2, 0, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 2, 0, 1, 1, 2, 1, 3, 1, 3, 2, 2, 1, 1, 3, 2, 2, 2, 2, 2, 0, 1, 2, 0, 1, 2, 2)"
29,True,0,"(2, 3, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 0, 2, 1, 1, 2, 2, 3, 2, 1, 2, 1, 2, 2, 2)"
28,True,0,"(2, 1, 2, 1, 2, 2, 1, 2, 2, 1, 2, 1, 2, 1, 1, 2, 1, 2, 0, 2, 1, 2, 2, 1, 0, 2, 1, 2)"
12,False,0,"(2, 2, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1)"
29,True,0,"(2, 2, 1, 2, 2, 1, 1, 2, 2, 1, 2, 1, 2, 1, 1, 2, 0, 1, 3, 1, 1, 0, 2, 1, 1, 2, 2, 2, 1)"
29,True,0,"(2, 2, 2, 1, 1, 1, 2, 1, 3, 2, 2, 1, 2, 1, 2, 1, 1, 2, 0, 1, 2, 2, 1, 2, 1, 2, 1, 0, 2)"
35,True,0,"(3, 1, 2, 2, 2, 2, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 2, 2, 3, 2, 1, 0, 2, 0, 1, 1, 2, 2, 0, 2, 1, 2, 1, 2, 2)"
33,True,0,"(1, 2, 2, 1, 2, 2, 1, 2, 2, 1, 1, 3, 1, 2, 2, 0, 2, 1, 3, 1, 1, 1, 0, 1, 1, 1, 2, 2, 1, 3, 2, 2, 1)"
29,True,0,"(1, 2, 2, 1, 1, 2, 1, 2, 1, 2, 1, 0, 2, 2, 0, 3, 2, 2, 2, 1, 1, 2, 1, 2, 1, 2, 2, 1, 1)"
38,True,0,"(2, 2, 1, 1, 1, 2, 2, 2, 2, 1, 2, 2, 1, 1, 1, 1, 2, 2, 1, 1, 0, 0, 1, 3, 0, 2, 3, 1, 2, 2, 3, 1, 1, 2, 2, 0, 1, 2)"
27,True,0,"(2, 2, 2, 1, 1, 2, 1, 2, 2, 1, 1, 2, 2, 1, 1, 2, 1, 2, 1, 1, 0, 1, 2, 2, 2, 0, 2)"
20,False,0,"(1, 2, 2, 1, 1, 2, 1, 2, 1, 2, 1, 2, 3, 2, 2, 1, 1, 2, 2, 2)"
25,True,0,"(2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 2, 3, 2, 2, 2, 1, 1, 2, 2, 1, 1, 2, 1, 1, 2)"
37,True,0,"(3, 0, 1, 0, 2, 2, 2, 1, 2, 1, 1, 1, 2, 2, 2, 2, 1, 1, 1, 2, 2, 1, 3, 0, 2, 1, 2, 1, 0, 3, 1, 1, 0, 1, 1, 2, 2)"
25,True,0,"(2, 2, 2, 1, 1, 1, 2, 2, 2, 1, 2, 1, 2, 1, 1, 1, 2, 2, 1, 1, 2, 2, 0, 1, 2)"
24,True,0,"(2, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2)"
12,False,0,"(2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 2)"
14,False,0,"(2, 0, 2, 1, 2, 1, 2, 1, 2, 1, 1, 1, 2, 1)"
41,True,0,"(1, 2, 2, 2, 1, 2, 1, 2, 2, 1, 2, 1, 2, 1, 1, 2, 2, 0, 2, 1, 1, 2, 1, 0, 3, 2, 2, 0, 1, 3, 2, 2, 1, 0, 1, 2, 1, 1, 1, 2, 1)"
36,True,0,"(2, 2, 1, 2, 1, 2, 1, 1, 1, 2, 2, 2, 2, 1, 1, 1, 1, 1, 2, 2, 1, 2, 3, 1, 0, 1, 2, 0, 1, 2, 1, 1, 1, 2, 2, 2)"
25,True,0,"(2, 2, 1, 1, 1, 2, 2, 1, 1, 1, 2, 2, 3, 2, 2, 1, 1, 1, 1, 1, 2, 1, 2, 2, 1)"
22,True,0,"(1, 2, 2, 2, 2, 1, 1, 2, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2)"
31,True,0,"(2, 2, 1, 1, 2, 1, 1, 2, 1, 2, 1, 2, 3, 2, 2, 1, 1, 1, 1, 1, 0, 2, 2, 2, 1, 3, 2, 2, 2, 1, 1)"
45,True,0,"(2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 0, 1, 1, 2, 1, 2, 1, 0, 2, 3, 2, 1, 2, 1, 2, 3, 2, 2, 1, 3, 0, 1, 3, 1, 3, 2, 2, 2, 1, 2, 2, 2, 1)"
30,True,0,"(2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 0, 1, 2, 3, 1, 2, 1, 1, 2, 1, 3, 2, 2, 2, 2, 2, 2, 1)"
31,True,0,"(2, 2, 1, 2, 2, 3, 1, 1, 1, 2, 0, 2, 2, 2, 2, 0, 1, 2, 1, 1, 1, 2, 1, 2, 1, 2, 0, 2, 1, 2, 1)"
31,True,0,"(2, 1, 2, 2, 2, 1, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 0, 1, 2, 3, 2, 2, 1, 2, 2, 1, 1, 2, 2, 2, 2)"
12,False,0,"(2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 2)"
32,True,0,"(2, 2, 1, 1, 2, 1, 2, 2, 2, 1, 1, 2, 2, 1, 1, 2, 0, 1, 1, 1, 2, 1, 2, 1, 2, 1, 2, 3, 2, 1, 2, 2)"
